,Index Name,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
1214,Nifty 50,NIFTY 50,21 Jun 2018,10808.45,10809.6,10725.9,10741.10
1215,Nifty 50,NIFTY 50,20 Jun 2018,10734.65,10781.8,10724.05,10772.05
1216,Nifty 50,NIFTY 50,19 Jun 2018,10789.45,10789.45,10701.2,10710.45
1217,Nifty 50,NIFTY 50,18 Jun 2018,10830.2,10830.2,10787.35,10799.85
1218,Nifty 50,NIFTY 50,15 Jun 2018,10808.65,10834,10755.4,10817.70
1219,Nifty 50,NIFTY 50,14 Jun 2018,10832.9,10833.7,10773.55,10808.05
1220,Nifty 50,NIFTY 50,13 Jun 2018,10887.5,10893.25,10842.65,10856.70
1221,Nifty 50,NIFTY 50,12 Jun 2018,10816.15,10856.55,10789.4,10842.85
1222,Nifty 50,NIFTY 50,11 Jun 2018,10781.85,10850.55,10777.05,10786.95
1223,Nifty 50,NIFTY 50,08 Jun 2018,10736.4,10779.45,10709.05,10767.65
1224,Nifty 50,NIFTY 50,07 Jun 2018,10722.6,10818,10722.6,10768.35
1225,Nifty 50,NIFTY 50,06 Jun 2018,10603.45,10698.35,10587.5,10684.65
1226,Nifty 50,NIFTY 50,05 Jun 2018,10630.7,10633.15,10550.9,10593.15
1227,Nifty 50,NIFTY 50,04 Jun 2018,10765.95,10770.3,10618.35,10628.50
1228,Nifty 50,NIFTY 50,01 Jun 2018,10738.45,10764.75,10681.5,10696.20
1229,Nifty 50,NIFTY 50,31 May 2018,10670.1,10763.8,10620.4,10736.15
1230,Nifty 50,NIFTY 50,30 May 2018,10579,10648.7,10558.45,10614.35
1231,Nifty 50,NIFTY 50,29 May 2018,10689.4,10717.25,10616.1,10633.30
1232,Nifty 50,NIFTY 50,28 May 2018,10648.35,10709.8,10640.55,10688.65
1233,Nifty 50,NIFTY 50,25 May 2018,10533.05,10628.05,10524,10605.15
1234,Nifty 50,NIFTY 50,24 May 2018,10464.85,10535.15,10419.8,10513.85
1235,Nifty 50,NIFTY 50,23 May 2018,10521.1,10533.55,10417.8,10430.35
1236,Nifty 50,NIFTY 50,22 May 2018,10518.45,10558.6,10490.55,10536.70
1237,Nifty 50,NIFTY 50,21 May 2018,10616.7,10621.7,10505.8,10516.70
1238,Nifty 50,NIFTY 50,18 May 2018,10671.85,10674.95,10589.1,10596.40
1239,Nifty 50,NIFTY 50,17 May 2018,10775.6,10777.25,10664.5,10682.70
1240,Nifty 50,NIFTY 50,16 May 2018,10751.95,10790.45,10699.7,10741.10
1241,Nifty 50,NIFTY 50,15 May 2018,10812.6,10929.2,10781.4,10801.85
1242,Nifty 50,NIFTY 50,14 May 2018,10815.15,10834.85,10774.75,10806.60
1243,Nifty 50,NIFTY 50,11 May 2018,10741.95,10812.05,10724.45,10806.50
1244,Nifty 50,NIFTY 50,10 May 2018,10779.65,10785.55,10705,10716.55
1245,Nifty 50,NIFTY 50,09 May 2018,10693.35,10766.25,10689.85,10741.70
1246,Nifty 50,NIFTY 50,08 May 2018,10757.9,10758.55,10689.4,10717.80
1247,Nifty 50,NIFTY 50,07 May 2018,10653.15,10725.65,10635.65,10715.50
1248,Nifty 50,NIFTY 50,04 May 2018,10700.45,10700.45,10601.6,10618.25
1249,Nifty 50,NIFTY 50,03 May 2018,10720.15,10720.6,10647.45,10679.65
1250,Nifty 50,NIFTY 50,02 May 2018,10783.85,10784.65,10689.8,10718.05
1251,Nifty 50,NIFTY 50,30 Apr 2018,10705.75,10759,10704.6,10739.35
1252,Nifty 50,NIFTY 50,27 Apr 2018,10651.65,10719.8,10647.55,10692.30
1253,Nifty 50,NIFTY 50,26 Apr 2018,10586.5,10628.4,10559.65,10617.80
1254,Nifty 50,NIFTY 50,25 Apr 2018,10612.4,10612.6,10536.45,10570.55
1255,Nifty 50,NIFTY 50,24 Apr 2018,10578.1,10636.8,10569,10614.35
1256,Nifty 50,NIFTY 50,23 Apr 2018,10592.8,10638.35,10514.95,10584.70
1257,Nifty 50,NIFTY 50,20 Apr 2018,10560.35,10582.35,10527.45,10564.05
1258,Nifty 50,NIFTY 50,19 Apr 2018,10563.65,10572.2,10546.2,10565.30
1259,Nifty 50,NIFTY 50,18 Apr 2018,10578.9,10594.2,10509.7,10526.20
1260,Nifty 50,NIFTY 50,17 Apr 2018,10557.3,10560.45,10495.65,10548.70
1261,Nifty 50,NIFTY 50,16 Apr 2018,10398.3,10540.15,10396.35,10528.35
1262,Nifty 50,NIFTY 50,13 Apr 2018,10495.3,10519.9,10451.45,10480.60
1263,Nifty 50,NIFTY 50,12 Apr 2018,10410.65,10469.9,10395.25,10458.65
1264,Nifty 50,NIFTY 50,11 Apr 2018,10428.15,10428.15,10355.6,10417.15
1265,Nifty 50,NIFTY 50,10 Apr 2018,10412.9,10424.85,10381.5,10402.25
1266,Nifty 50,NIFTY 50,09 Apr 2018,10333.7,10397.7,10328.5,10379.35
1267,Nifty 50,NIFTY 50,06 Apr 2018,10322.75,10350.45,10290.85,10331.60
1268,Nifty 50,NIFTY 50,05 Apr 2018,10228.45,10331.8,10227.45,10325.15
1269,Nifty 50,NIFTY 50,04 Apr 2018,10274.6,10279.85,10111.3,10128.40
1270,Nifty 50,NIFTY 50,03 Apr 2018,10186.85,10255.35,10171.05,10245.00
1271,Nifty 50,NIFTY 50,02 Apr 2018,10151.65,10220.1,10127.75,10211.80
1272,Nifty 50,NIFTY 50,28 Mar 2018,10143.6,10158.35,10096.9,10113.70
1273,Nifty 50,NIFTY 50,27 Mar 2018,10188,10207.9,10139.65,10184.15
1274,Nifty 50,NIFTY 50,26 Mar 2018,9989.15,10143.5,9958.55,10130.65
1275,Nifty 50,NIFTY 50,23 Mar 2018,9968.8,10027.7,9951.9,9998.05
1276,Nifty 50,NIFTY 50,22 Mar 2018,10167.5,10207.85,10105.4,10114.75
1277,Nifty 50,NIFTY 50,21 Mar 2018,10181.95,10227.3,10132.95,10155.25
1278,Nifty 50,NIFTY 50,20 Mar 2018,10051.55,10155.65,10049.1,10124.35
1279,Nifty 50,NIFTY 50,19 Mar 2018,10215.35,10224.55,10075.3,10094.25
1280,Nifty 50,NIFTY 50,16 Mar 2018,10345.15,10346.3,10180.25,10195.15
1281,Nifty 50,NIFTY 50,15 Mar 2018,10405.45,10420,10346.2,10360.15
1282,Nifty 50,NIFTY 50,14 Mar 2018,10393.05,10420.35,10336.3,10410.90
1283,Nifty 50,NIFTY 50,13 Mar 2018,10389.5,10478.6,10377.85,10426.85
1284,Nifty 50,NIFTY 50,12 Mar 2018,10301.6,10433.65,10295.45,10421.40
1285,Nifty 50,NIFTY 50,09 Mar 2018,10271.3,10296.7,10211.9,10226.85
1286,Nifty 50,NIFTY 50,08 Mar 2018,10216.25,10270.35,10146.4,10242.65
1287,Nifty 50,NIFTY 50,07 Mar 2018,10232.95,10243.35,10141.55,10154.20
1288,Nifty 50,NIFTY 50,06 Mar 2018,10420.5,10441.35,10215.9,10249.25
1289,Nifty 50,NIFTY 50,05 Mar 2018,10428.3,10428.7,10323.9,10358.85
1290,Nifty 50,NIFTY 50,01 Mar 2018,10479.95,10525.5,10447.15,10458.35
1291,Nifty 50,NIFTY 50,28 Feb 2018,10488.95,10535.5,10461.55,10492.85
1292,Nifty 50,NIFTY 50,27 Feb 2018,10615.2,10631.65,10537.25,10554.30
1293,Nifty 50,NIFTY 50,26 Feb 2018,10526.55,10592.95,10520.2,10582.60
1294,Nifty 50,NIFTY 50,23 Feb 2018,10408.1,10499.1,10396.65,10491.05
1295,Nifty 50,NIFTY 50,22 Feb 2018,10354.35,10397.55,10340.65,10382.70
